序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1.0,1,0.0,机组运行状态,bool,1.0,0.0,
2.0,1,1.0,自检状态,bool,1.0,0.0,
3.0,1,2.0,制冷运行状态,bool,1.0,0.0,
4.0,1,3.0,制热运行状态,bool,1.0,0.0,
5.0,1,4.0,内风机运行状态,bool,1.0,0.0,
6.0,1,5.0,外风机运行状态,bool,1.0,0.0,
7.0,1,6.0,除湿状态,bool,1.0,0.0,
8.0,1,7.0,排氢运行状态,bool,1.0,0.0,
9.0,1,8.0,预留,bool,1.0,0.0,
10.0,1,9.0,干接点告警输出状态,bool,1.0,0.0,
11.0,2,0.0,柜内温度传感器故障,bool,1.0,0.0,
12.0,2,1.0,冷凝盘管温度传感器故障,bool,1.0,0.0,
13.0,2,2.0,柜外温度传感器故障,bool,1.0,0.0,
14.0,2,3.0,湿度传感器故障,bool,1.0,0.0,
15.0,2,4.0,压缩机欠流告警,bool,1.0,0.0,
16.0,2,5.0,压缩机过流告警,bool,1.0,0.0,
17.0,2,6.0,加热器欠流告警,bool,1.0,0.0,
18.0,2,7.0,加热器过流告警,bool,1.0,0.0,
19.0,2,8.0,内风机告警,bool,1.0,0.0,
20.0,2,9.0,外风机告警,bool,1.0,0.0,
21.0,2,10.0,高压力告警,bool,1.0,0.0,
22.0,2,11.0,低压力告警,bool,1.0,0.0,
23.0,2,12.0,柜内高温告警,bool,1.0,0.0,
24.0,2,13.0,柜内低温告警,bool,1.0,0.0,
25.0,2,14.0,柜外高温告警,bool,1.0,0.0,
26.0,2,15.0,柜外低温告警,bool,1.0,0.0,
27.0,2,16.0,预留,bool,1.0,0.0,
28.0,2,17.0,外部输入（门禁）告警,bool,1.0,0.0,
29.0,2,18.0,预留,bool,1.0,0.0,
30.0,2,19.0,预留,bool,1.0,0.0,
31.0,2,20.0,蒸发盘管温度传感器故障,bool,1.0,0.0,
32.0,2,21.0,高湿告警,bool,1.0,0.0,
33.0,2,22.0,低电压告警,bool,1.0,0.0,
34.0,2,23.0,高电压告警,bool,1.0,0.0,
35.0,2,24.0,变频压缩机故障,bool,1.0,0.0,
36.0,2,25.0,预留,bool,1.0,0.0,
37.0,2,26.0,预留,bool,1.0,0.0,
38.0,2,27.0,蒸发器冻结告警,bool,1.0,0.0,
39.0,2,28.0,高压力频繁告警,bool,1.0,0.0,
40.0,2,29.0,低压力频繁告警,bool,1.0,0.0,
41.0,2,30.0,冷凝高温告警,bool,1.0,0.0,
42.0,2,31.0,制冷剂泄漏告警,bool,1.0,0.0,
43.0,2,32.0,变频压缩机通信故障,bool,1.0,0.0,
44.0,3,0.0,制冷设定温度,INT16,10.0,0.0,℃
45.0,3,1.0,制冷回差温度,INT16,10.0,0.0,℃
46.0,3,2.0,制热启动温度,INT16,10.0,0.0,℃
47.0,3,3.0,制热停止回差值,INT16,10.0,0.0,℃
48.0,3,4.0,高温告警温度值,INT16,10.0,0.0,℃
49.0,3,5.0,低温告警温度值,INT16,10.0,0.0,℃
50.0,3,6.0,除湿开启湿度值,UINT16,10.0,0.0,%
51.0,3,7.0,除湿停止回差,UINT16,10.0,0.0,%
52.0,3,8.0,高湿告警值,UINT16,10.0,0.0,%
53.0,3,9.0,除湿使能,UINT16,10.0,0.0,
54.0,3,10.0,预留,UINT16,1.0,0.0,
55.0,3,11.0,预留,UINT16,1.0,0.0,
