序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1,3,0x100,组合有功总电能,INT32,100,0,kWh
2,3,0x102,组合有功尖电能,INT32,100,0,kWh
3,3,0x104,组合有功峰电能,INT32,100,0,kWh
4,3,0x106,组合有功平电能,INT32,100,0,kWh
5,3,0x108,组合有功谷电能,INT32,100,0,kWh
6,3,0x10A,正向有功总电能,UINT32,100,0,kWh
7,3,0x10C,正向有功尖电能,UINT32,100,0,kWh
8,3,0x10E,正向有功峰电能,UINT32,100,0,kWh
9,3,0x110,正向有功平电能,UINT32,100,0,kWh
10,3,0x112,正向有功谷电能,UINT32,100,0,kWh
11,3,0x114,反向有功总电能,UINT32,100,0,kWh
12,3,0x116,反向有功尖电能,UINT32,100,0,kWh
13,3,0x118,反向有功峰电能,UINT32,100,0,kWh
14,3,0x11A,反向有功平电能,UINT32,100,0,kWh
15,3,0x11C,反向有功谷电能,UINT32,100,0,kWh
16,3,0x11E,组合无功1总电能,INT32,100,0,kvarh
17,3,0x120,组合无功1尖电能,INT32,100,0,kvarh
18,3,0x122,组合无功1峰电能,INT32,100,0,kvarh
19,3,0x124,组合无功1平电能,INT32,100,0,kvarh
20,3,0x126,组合无功1谷电能,INT32,100,0,kvarh
21,3,0x128,组合无功2总电能,INT32,100,0,kvarh
22,3,0x12A,组合无功2尖电能,INT32,100,0,kvarh
23,3,0x12C,组合无功2峰电能,INT32,100,0,kvarh
24,3,0x12E,组合无功2平电能,INT32,100,0,kvarh
25,3,0x130,组合无功2谷电能,INT32,100,0,kvarh
26,3,0x132,一象限无功总电能,UINT32,100,0,kvarh
27,3,0x134,一象限无功尖电能,UINT32,100,0,kvarh
28,3,0x136,一象限无功峰电能,UINT32,100,0,kvarh
29,3,0x138,一象限无功平电能,UINT32,100,0,kvarh
30,3,0x13A,一象限无功谷电能,UINT32,100,0,kvarh
31,3,0x13C,二象限无功总电能,UINT32,100,0,kvarh
32,3,0x13E,二象限无功尖电能,UINT32,100,0,kvarh
33,3,0x140,二象限无功峰电能,UINT32,100,0,kvarh
34,3,0x142,二象限无功平电能,UINT32,100,0,kvarh
35,3,0x144,二象限无功谷电能,UINT32,100,0,kvarh
36,3,0x146,三象限无功总电能,UINT32,100,0,kvarh
37,3,0x148,三象限无功尖电能,UINT32,100,0,kvarh
38,3,0x14A,三象限无功峰电能,UINT32,100,0,kvarh
39,3,0x14C,三象限无功平电能,UINT32,100,0,kvarh
40,3,0x14E,三象限无功谷电能,UINT32,100,0,kvarh
41,3,0x150,四象限无功总电能,UINT32,100,0,kvarh
42,3,0x152,四象限无功尖电能,UINT32,100,0,kvarh
43,3,0x154,四象限无功峰电能,UINT32,100,0,kvarh
44,3,0x156,四象限无功平电能,UINT32,100,0,kvarh
45,3,0x158,四象限无功谷电能,UINT32,100,0,kvarh
46,3,0x15A,正向视在总电能,UINT32,100,0,kVAh
47,3,0x15C,正向视在尖电能,UINT32,100,0,kVAh
48,3,0x15E,正向视在峰电能,UINT32,100,0,kVAh
49,3,0x160,正向视在平电能,UINT32,100,0,kVAh
50,3,0x162,正向视在谷电能,UINT32,100,0,kVAh
51,3,0x164,反向视在总电能,UINT32,100,0,kVAh
52,3,0x166,反向视在尖电能,UINT32,100,0,kVAh
53,3,0x168,反向视在峰电能,UINT32,100,0,kVAh
54,3,0x16A,反向视在平电能,UINT32,100,0,kVAh
55,3,0x16C,反向视在谷电能,UINT32,100,0,kVAh
56,3,0x16E,A相电压,UINT32,10000,0,V
57,3,0x170,B相电压,UINT32,10000,0,V
58,3,0x172,C相电压,UINT32,10000,0,V
59,3,0x174,A相电流,UINT32,10000,0,A
60,3,0x176,B相电流,UINT32,10000,0,A
61,3,0x178,C相电流,UINT32,10000,0,A
62,3,0x17A,有功总功率,INT32,10000,0,kW
63,3,0x17C,A相有功总功率,INT32,10000,0,kW
64,3,0x17E,B相有功总功率,INT32,10000,0,kW
65,3,0x180,C相有功总功率,INT32,10000,0,kW
66,3,0x182,无功总功率,INT32,10000,0,kvar
67,3,0x184,A相无功总功率,INT32,10000,0,kvar
68,3,0x186,B相无功总功率,INT32,10000,0,kvar
69,3,0x188,C相无功总功率,INT32,10000,0,kvar
70,3,0x18A,总视在功率,UINT32,10000,0,kVA
71,3,0x18C,A相视在功率,UINT32,10000,0,kVA
72,3,0x18E,B相视在功率,UINT32,10000,0,kVA
73,3,0x190,C相视在功率,UINT32,10000,0,kVA
74,3,0x192,总功率因数,INT16,1000,0,
75,3,0x193,A相功率因数,INT16,1000,0,
76,3,0x194,B相功率因数,INT16,1000,0,
77,3,0x195,C相功率因数,INT16,1000,0,
78,3,0x196,A相相角,UINT16,100,0,°
79,3,0x197,B相相角,UINT16,100,0,°
80,3,0x198,C相相角,UINT16,100,0,°
81,3,0x199,电网频率,UINT16,100,0,Hz
82,3,0xA000,写编程使能,UINT16,1,0,
83,3,0x09,电压变比,UINT16,1,0,
84,3,0x0A,电流变比,UINT16,1,0,
85,3,0x11e0,电表清零,UINT16,1,0,
