序号,功能码,地址,名字,数据类型,倍率,偏移,单位,Unnamed: 8,Unnamed: 9
0.0,3,24576,低压侧恒压充电电压设置,UINT16,10.0,0.0,V,,0.0
1.0,3,24577,低压侧过压保护点,UINT16,10.0,0.0,V,,1.0
2.0,3,24578,低压侧欠压保护点,UINT16,10.0,0.0,V,,2.0
3.0,3,24579,高压侧恒压充电电压设置,UINT16,10.0,0.0,V,,3.0
4.0,3,24580,高压侧过压保护点,UINT16,10.0,0.0,V,,4.0
5.0,3,24581,高压侧欠压保护点,UINT16,10.0,0.0,V,,5.0
6.0,3,24582,下设充放电功率,INT16,10.0,0.0,kW,,6.0
7.0,3,24583,下设充放电电流,INT16,10.0,0.0,A,,7.0
8.0,3,24586,开机、关机指令,UINT16,1.0,0.0,,,10.0
9.0,3,24589,DC部分最大功率,UINT16,10.0,0.0,kW,,13.0
10.0,3,24590,DC部分最大电流,UINT16,10.0,0.0,A,,14.0
11.0,3,24597,控制配置字,UINT16,1.0,0.0,,,21.0
12.0,3,24598,绝缘检测EMS控制单次检测使能,INT16,1.0,0.0,,,22.0
13.0,3,24599,绝缘检测启动电压设置,INT16,10.0,0.0,V,,23.0
14.0,3,24600,绝缘检测使能位,INT16,1.0,0.0,,,24.0
15.0,3,24605,DC快速模式设置,INT16,1.0,0.0,,,29.0
16.0,3,24606,EPO故障触发(DC),UINT16,1.0,0.0,,,30.0
17.0,3,24624,硬件故障字屏蔽字1(DC),UINT16,1.0,0.0,,,48.0
18.0,3,24625,硬件故障字屏蔽字2(DC),UINT16,1.0,0.0,,,49.0
19.0,3,24626,电池侧故障字屏蔽字,UINT16,1.0,0.0,,,50.0
20.0,3,24627,母线侧故障字屏蔽字,UINT16,1.0,0.0,,,51.0
21.0,3,24628,并机故障字屏蔽字,UINT16,1.0,0.0,,,52.0
22.0,3,24629,系统故障字屏蔽字(DC),UINT16,1.0,0.0,,,53.0
23.0,3,24630,开关故障字屏蔽字(DC),UINT16,1.0,0.0,,,54.0
24.0,3,24631,其他故障字屏蔽字(DC),UINT16,1.0,0.0,,,55.0
25.0,3,24656,DSP版本V(DC),UINT16,1.0,0.0,,,80.0
26.0,3,24657,DSP版本B(DC),UINT16,1.0,0.0,,,81.0
27.0,3,24658,DSP版本D(DC),UINT16,1.0,0.0,,,82.0
28.0,3,24662,工作状态(DC),UINT16,1.0,0.0,,,86.0
29.0,3,24663,散热器温度,INT16,10.0,0.0,℃,,87.0
30.0,3,24664,母线总电压,INT16,10.0,0.0,V,,88.0
31.0,3,24665,正母线电压(DCDC),INT16,10.0,0.0,V,,89.0
32.0,3,24666,负母线电压(DCDC),INT16,10.0,0.0,V,,90.0
33.0,3,24667,正负母线压差,INT16,10.0,0.0,V,,91.0
34.0,3,24668,电池电压,INT16,10.0,0.0,V,,92.0
35.0,3,24669,电池电流,INT16,10.0,0.0,A,,93.0
36.0,3,24670,电池功率,INT16,10.0,0.0,kW,,94.0
37.0,3,24671,DC部分环境温度,INT16,10.0,0.0,℃,,95.0
38.0,3,24672,DC环境温度限额功率,INT16,10.0,0.0,kW,,96.0
39.0,3,24675,电池侧正对地绝缘电阻,INT16,1.0,0.0,kΩ,,99.0
40.0,3,24676,电池侧负对地绝缘电阻,INT16,1.0,0.0,kΩ,,100.0
41.0,3,24677,绝缘检测运行时间计数器,INT16,1.0,0.0,s,,101.0
42.0,3,24678,绝缘检测运行,UINT16,1.0,0.0,,,102.0
43.0,3,24684,总充电电量,UINT32,10.0,0.0,kWh,,108.0
44.0,3,24686,总放电电量,UINT32,10.0,0.0,kWh,,110.0
45.0,3,24688,日充电电量,UINT16,10.0,0.0,kWh,,112.0
46.0,3,24689,日放电电量,UINT16,10.0,0.0,kWh,,113.0
47.0,3,24690,累计运行年,UINT16,1.0,0.0,年,,114.0
48.0,3,24691,累计运行天,UINT16,1.0,0.0,天,,115.0
49.0,3,24692,累计运行时,UINT16,1.0,0.0,小时,,116.0
50.0,3,24693,累计运行分,UINT16,1.0,0.0,分,,117.0
51.0,3,24694,累计运行秒,UINT16,1.0,0.0,秒,,118.0
52.0,3,24698,硬件故障字1(DC),UINT16,1.0,0.0,,,122.0
53.0,3,24699,硬件故障字2(DC),UINT16,1.0,0.0,,,123.0
54.0,3,24700,电池侧故障字,UINT16,1.0,0.0,,,124.0
55.0,3,24701,母线侧故障字,UINT16,1.0,0.0,,,125.0
56.0,3,24702,并机故障字,UINT16,1.0,0.0,,,126.0
57.0,3,24703,系统故障字(DC),UINT16,1.0,0.0,,,127.0
58.0,3,24704,开关故障字(DC),UINT16,1.0,0.0,,,128.0
59.0,3,24705,其他故障字(DC),UINT16,1.0,0.0,,,129.0
60.0,3,28672,DSP版本V(AC),UINT16,1.0,0.0,,,0.0
61.0,3,28673,DSP版本B(AC),UINT16,1.0,0.0,,,1.0
62.0,3,28674,DSP版本D(AC),UINT16,1.0,0.0,,,2.0
63.0,3,28675,CPLD版本V(AC),UINT16,1.0,0.0,,,3.0
64.0,3,28676,CPLD版本B(AC),UINT16,1.0,0.0,,,4.0
