序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,1,0.0,公共报警,BOOL,1.0,0.0,
1.0,1,1.0,公共警告报警,BOOL,1.0,0.0,
2.0,1,2.0,公共停机报警,BOOL,1.0,0.0,
3.0,1,3.0,远程模式,BOOL,1.0,0.0,
4.0,1,4.0,远程锁机,BOOL,1.0,0.0,
5.0,1,5.0,保留1,BOOL,1.0,0.0,
6.0,1,6.0,市电带负载,BOOL,1.0,0.0,
7.0,1,7.0,发电带负载,BOOL,1.0,0.0,
8.0,1,8.0,紧急停机,BOOL,1.0,0.0,
9.0,1,9.0,超速报警停机,BOOL,1.0,0.0,
10.0,1,10.0,欠速报警停机,BOOL,1.0,0.0,
11.0,1,11.0,速度信号丢失停机,BOOL,1.0,0.0,
12.0,1,12.0,超频报警停机,BOOL,1.0,0.0,
13.0,1,13.0,欠频报警停机,BOOL,1.0,0.0,
14.0,1,14.0,过压报警停机,BOOL,1.0,0.0,
15.0,1,15.0,欠压报警停机,BOOL,1.0,0.0,
16.0,1,16.0,发电过流停机,BOOL,1.0,0.0,
17.0,1,17.0,起动失败,BOOL,1.0,0.0,
18.0,1,18.0,水温高报警停机,BOOL,1.0,0.0,
19.0,1,19.0,油压低报警停机,BOOL,1.0,0.0,
20.0,1,20.0,频率丢失报警,BOOL,1.0,0.0,
21.0,1,21.0,输入口停机报警,BOOL,1.0,0.0,
22.0,1,22.0,燃油位低停机报警,BOOL,1.0,0.0,
23.0,1,23.0,冷却液低停机报警,BOOL,1.0,0.0,
24.0,1,24.0,水温高警告报警,BOOL,1.0,0.0,
25.0,1,25.0,油压低警告报警,BOOL,1.0,0.0,
26.0,1,26.0,发电过流警告报警,BOOL,1.0,0.0,
27.0,1,27.0,停机失败警告报警,BOOL,1.0,0.0,
28.0,1,28.0,油位低警告,BOOL,1.0,0.0,
29.0,1,29.0,充电失败警告,BOOL,1.0,0.0,
30.0,1,30.0,电池电压过低警告报警,BOOL,1.0,0.0,
31.0,1,31.0,电池电压过高警告报警,BOOL,1.0,0.0,
32.0,1,32.0,输入口警告报警,BOOL,1.0,0.0,
33.0,1,33.0,速度信号丢失警告,BOOL,1.0,0.0,
34.0,1,34.0,冷却液低警告,BOOL,1.0,0.0,
35.0,1,35.0,温度传感器开路警告,BOOL,1.0,0.0,
36.0,1,36.0,油压传感器开路警告,BOOL,1.0,0.0,
37.0,1,37.0,维护时间到警告,BOOL,1.0,0.0,
38.0,1,38.0,充电器充电失败警告,BOOL,1.0,0.0,
39.0,1,39.0,过功率警告,BOOL,1.0,0.0,
40.0,1,40.0,系统在测试模式,BOOL,1.0,0.0,
41.0,1,41.0,系统在自动模式,BOOL,1.0,0.0,
42.0,1,42.0,系统在手动模式,BOOL,1.0,0.0,
43.0,1,43.0,系统在停机模式,BOOL,1.0,0.0,
44.0,1,44.0,温度传感器器开路停机,BOOL,1.0,0.0,
45.0,1,45.0,油压传感器开路停机,BOOL,1.0,0.0,
46.0,1,46.0,维护时间到停机报警,BOOL,1.0,0.0,
47.0,1,47.0,过功率停机报警,BOOL,1.0,0.0,
48.0,1,48.0,紧急停机输入,BOOL,1.0,0.0,
49.0,1,49.0,可编程输入口1,BOOL,1.0,0.0,
50.0,1,50.0,可编程输入口2,BOOL,1.0,0.0,
51.0,1,51.0,可编程输入口3,BOOL,1.0,0.0,
52.0,1,52.0,可编程输入口4,BOOL,1.0,0.0,
53.0,1,53.0,可编程输入口5,BOOL,1.0,0.0,
54.0,1,54.0,漏液停机,BOOL,1.0,0.0,
55.0,1,55.0,保留2,BOOL,1.0,0.0,
56.0,1,56.0,起动继电器输出,BOOL,1.0,0.0,
57.0,1,57.0,燃油继电器输出,BOOL,1.0,0.0,
58.0,1,58.0,可编程输出口1,BOOL,1.0,0.0,
59.0,1,59.0,可编程输出口2,BOOL,1.0,0.0,
60.0,1,60.0,可编程输出口3,BOOL,1.0,0.0,
61.0,1,61.0,可编程输出口4,BOOL,1.0,0.0,
62.0,1,62.0,燃油1输出控制,BOOL,1.0,0.0,
63.0,1,63.0,过流故障停机输入报警,BOOL,1.0,0.0,
64.0,1,64.0,超速停机输入报警,BOOL,1.0,0.0,
65.0,1,65.0,市电故障,BOOL,1.0,0.0,
66.0,1,66.0,市电正常,BOOL,1.0,0.0,
67.0,1,67.0,市电过压,BOOL,1.0,0.0,
68.0,1,68.0,市电欠压,BOOL,1.0,0.0,
69.0,1,69.0,市电缺相,BOOL,1.0,0.0,
70.0,1,70.0,市电无,BOOL,1.0,0.0,
71.0,1,71.0,低油压报警停机,BOOL,1.0,0.0,
72.0,1,72.0,发电正常,BOOL,1.0,0.0,
73.0,1,73.0,发电过压,BOOL,1.0,0.0,
74.0,1,74.0,发电欠压,BOOL,1.0,0.0,
75.0,1,75.0,发电过频,BOOL,1.0,0.0,
76.0,1,76.0,发电欠频,BOOL,1.0,0.0,
77.0,1,77.0,发电过流,BOOL,1.0,0.0,
78.0,1,78.0,定时不开机时间指示,BOOL,1.0,0.0,
79.0,1,79.0,漏液警告,BOOL,1.0,0.0,
80.0,3,0.0,市电UA,UINT16,1.0,0.0,V
81.0,3,1.0,市电UB,UINT16,1.0,0.0,V
82.0,3,2.0,市电UC,UINT16,1.0,0.0,V
83.0,3,3.0,市电UAB,UINT16,1.0,0.0,V
84.0,3,4.0,市电UBC,UINT16,1.0,0.0,V
85.0,3,5.0,市电UCA,UINT16,1.0,0.0,V
86.0,3,6.0,市电频率,UINT16,10.0,0.0,V
87.0,3,7.0,发电UA,UINT16,1.0,0.0,V
88.0,3,8.0,发电UB,UINT16,1.0,0.0,V
89.0,3,9.0,发电UC,UINT16,1.0,0.0,V
90.0,3,10.0,发电UAB,UINT16,1.0,0.0,V
91.0,3,11.0,发电UBC,UINT16,1.0,0.0,V
92.0,3,12.0,发电UCA,UINT16,1.0,0.0,V
93.0,3,13.0,发电频率,UINT16,10.0,0.0,Hz
94.0,3,14.0,A相电流,UINT16,1.0,0.0,A
95.0,3,15.0,B相电流,UINT16,1.0,0.0,A
96.0,3,16.0,C相电流,UINT16,1.0,0.0,A
97.0,3,17.0,水温温度值,UINT16,1.0,0.0,℃
98.0,3,18.0,水温电阻值,UINT16,10.0,0.0,Ω
99.0,3,19.0,油压值,UINT16,1.0,0.0,kPa
100.0,3,20.0,油压电阻值,UINT16,10.0,0.0,Ω
101.0,3,21.0,液位值,UINT16,1.0,0.0,%
102.0,3,22.0,液位电阻值,UINT16,10.0,0.0,Ω
103.0,3,23.0,转速,UINT16,1.0,0.0,RPM
104.0,3,24.0,电池电压,UINT16,10.0,0.0,V
105.0,3,25.0,D+电压,UINT16,10.0,0.0,V
106.0,3,26.0,有功功率,INT16,1.0,0.0,kW
107.0,3,27.0,无功功率,INT16,1.0,0.0,kVar
108.0,3,28.0,视在功率,INT16,1.0,0.0,kVA
109.0,3,29.0,功率因数,INT16,100.0,0.0,
110.0,3,30.0,维护倒计时小时,UINT16,1.0,0.0,h
111.0,3,31.0,维护倒计时分,UINT16,1.0,0.0,min
112.0,3,34.0,控制器运行状态,UINT16,1.0,0.0,
113.0,3,35.0,延时1,UINT16,1.0,0.0,s
114.0,3,36.0,自动运行状态,UINT16,1.0,0.0,
115.0,3,37.0,延时2,UINT16,1.0,0.0,s
116.0,3,38.0,ATS运行状态,UINT16,1.0,0.0,
117.0,3,39.0,延时3,UINT16,1.0,0.0,s
118.0,3,40.0,市电状态,UINT16,1.0,0.0,
119.0,3,41.0,延时4,UINT16,1.0,0.0,s
120.0,3,42.0,油机运行累计计时（小时）高位,UINT16,1.0,0.0,h
121.0,3,43.0,油机运行累计计时（小时）低位,UINT16,1.0,0.0,h
122.0,3,44.0,油机运行累计计时（分钟）,UINT16,1.0,0.0,min
123.0,3,45.0,油机运行累计计时（秒）,UINT16,1.0,0.0,s
124.0,3,46.0,累计开机次数高位,UINT16,1.0,0.0,
125.0,3,47.0,累计开机次数低位,UINT16,1.0,0.0,
126.0,3,48.0,累计电能高位,UINT16,1.0,0.0,kWh
127.0,3,49.0,累计电能低位,UINT16,1.0,0.0,kWh
128.0,3,50.0,软件版本,UINT16,10.0,0.0,
129.0,3,51.0,硬件版本,UINT16,10.0,0.0,
130.0,3,52.0,A相有功功率,INT16,1.0,0.0,kW
131.0,3,53.0,B相有功功率,INT16,1.0,0.0,kW
132.0,3,54.0,C相有功功率,INT16,1.0,0.0,kW
133.0,3,55.0,负载输出百分比,UINT16,1.0,0.0,%
134.0,3,67.0,进气压力,INT16,1.0,0.0,kPa
135.0,3,68.0,累计燃油消耗,INT16,1.0,0.0,L
136.0,3,92.0,发电UA相位,INT16,1.0,0.0,°
137.0,3,93.0,发电UB相位,INT16,1.0,0.0,°
138.0,3,94.0,发电UC相位,INT16,1.0,0.0,°
139.0,3,95.0,市电UA相位,INT16,1.0,0.0,°
140.0,3,96.0,市电UB相位,INT16,1.0,0.0,°
141.0,3,97.0,市电UC相位,INT16,1.0,0.0,°
,na,,公共报警,1,,,
,na,,公共警告报警,1,,,
,na,,公共停机报警,1,,,
,na,,紧急停机,1,,,
,na,,超速报警停机,1,,,
,na,,欠速报警停机,1,,,
,na,,速度信号丢失停机,1,,,
,na,,超频报警停机,1,,,
,na,,欠频报警停机,1,,,
,na,,过压报警停机,1,,,
,na,,欠压报警停机,1,,,
,na,,发电过流停机,1,,,
,na,,起动失败,1,,,
,na,,水温高报警停机,1,,,
,na,,油压低报警停机,1,,,
,na,,频率丢失报警,1,,,
,na,,输入口停机报警,1,,,
,na,,燃油位低停机报警,1,,,
,na,,冷却液低停机报警,1,,,
,na,,水温高警告报警,1,,,
,na,,油压低警告报警,1,,,
,na,,发电过流警告报警,1,,,
,na,,停机失败警告报警,1,,,
,na,,油位低警告,1,,,
,na,,充电失败警告,1,,,
,na,,电池电压过低警告报警,1,,,
,na,,电池电压过高警告报警,1,,,
,na,,输入口警告报警,1,,,
,na,,速度信号丢失警告,1,,,
,na,,冷却液低警告,1,,,
,na,,温度传感器开路警告,1,,,
,na,,油压传感器开路警告,1,,,
,na,,维护时间到警告,1,,,
,na,,充电器充电失败警告,1,,,
,na,,过功率警告,1,,,
,na,,温度传感器器开路停机,1,,,
,na,,油压传感器开路停机,1,,,
,na,,维护时间到停机报警,1,,,
,na,,过功率停机报警,1,,,
,na,,紧急停机输入,1,,,
,na,,漏液停机,1,,,
,na,,起动继电器输出,1,,,
,na,,燃油继电器输出,1,,,
,na,,燃油1输出控制,1,,,
,na,,过流故障停机输入报警,1,,,
,na,,超速停机输入报警,1,,,
,na,,市电故障,1,,,
,na,,市电正常,1,,,
,na,,市电过压,1,,,
,na,,市电欠压,1,,,
,na,,市电缺相,1,,,
,na,,市电无,1,,,
,na,,低油压报警停机,1,,,
,na,,发电正常,1,,,
,na,,发电过压,1,,,
,na,,发电欠压,1,,,
,na,,发电过频,1,,,
,na,,发电欠频,1,,,
,na,,发电过流,1,,,
,na,,定时不开机时间指示,1,,,
,na,,漏液警告,1,,,
