序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,3,0,柜温,INT16,1.0,0.0,℃
1.0,3,1,风机温度,INT16,1.0,0.0,℃
2.0,3,2,加热继电器输出状态,INT16,1.0,0.0,
3.0,3,3,报警状态,INT16,1.0,0.0,
4.0,3,4,制冷设定温度,INT16,1.0,0.0,℃
5.0,3,5,回差温度值,INT16,1.0,0.0,℃
6.0,3,6,压缩机延时时间,UINT16,1.0,0.0,S
7.0,3,7,强制制冷时间,INT16,1.0,0.0,min
8.0,3,8,柜内温度校正,INT16,1.0,0.0,℃
9.0,3,9,设置温度最小值,INT16,1.0,0.0,℃
10.0,3,10,设置温度最大值,INT16,1.0,0.0,℃
11.0,3,11,加热设定温度值,INT16,1.0,0.0,℃
12.0,3,12,低温报警值,INT16,1.0,0.0,℃
13.0,3,13,高温报警值,INT16,1.0,0.0,℃
14.0,3,14,从机地址,UINT16,1.0,0.0,
,na,0,报警状态,1,,,
,na,1,低温报警,1,,,
,na,2,高温报警,1,,,
