序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,3,0x0103,离网频率设置,INT16,100.0,0.0,Hz
1.0,3,0x0189,A相功率因数,INT16,100.0,0.0,
2.0,3,0x018A,B相功率因数,INT16,100.0,0.0,
3.0,3,0x018B,C相功率因数,INT16,100.0,0.0,
4.0,3,0x0291,开机、关机指令,INT16,1.0,0.0,
5.0,3,0x02A6,A相有功功率给定,INT16,100.0,0.0,kW
6.0,3,0x02A7,A相无功功率给定,INT16,100.0,0.0,kvar
7.0,3,0x02A8,B相有功功率给定,INT16,100.0,0.0,kW
8.0,3,0x02A9,B相无功功率给定,INT16,100.0,0.0,kvar
9.0,3,0x02AA,C相有功功率给定,INT16,100.0,0.0,kW
10.0,3,0x02AB,C相无功功率给定,INT16,100.0,0.0,kvar
11.0,3,0x0835,平衡模块开启/关闭,INT16,1.0,0.0,
12.0,3,0x0900,绝缘检测使能,INT16,1.0,0.0,
13.0,3,0x0913,绝缘检测值Rx,UINT16,1.0,0.0,kΩ
14.0,3,0x0914,绝缘检测值Ry,UINT16,1.0,0.0,kΩ
15.0,3,0x0D10,母线电压设置,UINT16,10.0,0.0,V
16.0,3,0x0D16,DC源母线电压设置,UINT16,10.0,0.0,V
17.0,3,0x0D57,下设有功充电/放电功率,INT16,10.0,0.0,kW
18.0,3,0x0D58,无功功率补偿功率设置,UINT16,10.0,0.0,kvar
19.0,3,0x1004,hMIModbus波特率,UINT16,1.0,0.0,
20.0,3,0x1007,ReModbus波特率,UINT16,1.0,0.0,
21.0,3,0x1010,ReModbus地址,UINT16,1.0,0.0,
22.0,3,0x1011,hMIModbus地址,UINT16,1.0,0.0,
23.0,3,0x1400,故障复位指令,UINT16,1.0,0.0,
24.0,3,0x1405,固化参数指令,UINT16,1.0,0.0,
25.0,3,0x1600,交流线电压过压保护点,UINT16,10.0,0.0,V
26.0,3,0x1601,交流线电压欠压保护点,UINT16,10.0,0.0,V
27.0,3,0x1603,交流过流保护点,UINT16,10.0,0.0,A
28.0,3,0x1604,电网过频保护,UINT16,100.0,0.0,Hz
29.0,3,0x1605,电网欠频保护,UINT16,100.0,0.0,Hz
30.0,3,0x1611,母线过压保护点,UINT16,10.0,0.0,V
31.0,3,0x1612,母线欠压保护点,UINT16,10.0,0.0,V
32.0,3,0x1620,模块过温保护点,UINT16,10.0,0.0,℃
33.0,3,0x1631,孤岛过频保护,UINT16,100.0,0.0,Hz
34.0,3,0x1632,孤岛欠频保护,UINT16,100.0,0.0,Hz
35.0,3,0x1633,电池过压保护点,UINT16,10.0,0.0,V
36.0,3,0x1634,电池欠压保护点,UINT16,10.0,0.0,V
37.0,3,0x163F,电池侧最大充电电流限值,INT16,10.0,0.0,A
38.0,3,0x1640,电池侧最大放电电流限值,INT16,10.0,0.0,A
39.0,3,0x1641,直流过流保护点,UINT16,10.0,0.0,A
40.0,3,0x1643,恒流转恒压充电电池电压点,UINT16,10.0,0.0,V
41.0,3,0x1644,电池恒压充电电压,UINT16,10.0,0.0,V
42.0,3,0x1648,EMS(BMS)通讯故障时间阈值,UINT16,1.0,0.0,s
43.0,3,0x1650,恒压充电最大时间限制,UINT16,10.0,0.0,min
44.0,3,0x1651,恒压转浮充电流点设置,UINT16,10.0,0.0,A
45.0,3,0x1653,电池浮充电压点设置,UINT16,10.0,0.0,V
46.0,3,0x1654,浮充转恒流电流点设置,UINT16,10.0,0.0,A
47.0,3,0x1700,硬件故障字1,UINT16,1.0,0.0,
48.0,3,0x1701,硬件故障字2,UINT16,1.0,0.0,
49.0,3,0x1702,电网故障字,UINT16,1.0,0.0,
50.0,3,0x1703,母线故障字,UINT16,1.0,0.0,
51.0,3,0x1704,交流电容故障字,UINT16,1.0,0.0,
52.0,3,0x1705,系统故障字,UINT16,1.0,0.0,
53.0,3,0x1706,开关故障字,UINT16,1.0,0.0,
54.0,3,0x1707,其他故障字,UINT16,1.0,0.0,
55.0,3,0x2101,在线开机台数,UINT16,1.0,0.0,
56.0,3,0x2104,在线并机状态,UINT16,1.0,0.0,
57.0,3,0x2227,离网电压设置,INT16,1.0,0.0,
58.0,3,0x2329,无工频同步标志,UINT16,1.0,0.0,
59.0,3,0x2343,工频同步捕获值,UINT16,1.0,0.0,
60.0,3,0x501B,模块运行模式设置,UINT16,1.0,0.0,
61.0,3,0x5021,模块并联台数设置,UINT16,1.0,0.0,
62.0,3,0x5054,模块电流源并联使能设置,UINT16,1.0,0.0,
63.0,3,0x5060,并网单相功率独立控制设置,UINT16,1.0,0.0,
64.0,3,0x5066,离网模式设置,UINT16,1.0,0.0,
65.0,3,0x5068,模块主机设置,UINT16,1.0,0.0,
66.0,3,0x5069,模块是否为主机,UINT16,1.0,0.0,
67.0,3,0x506A,PCS除湿使能,UINT16,1.0,0.0,
68.0,3,0x5078,最大充电功率,INT16,10.0,0.0,kW
69.0,3,0x5079,最大放电功率,INT16,10.0,0.0,kW
70.0,3,0x508C,电量清零指令,UINT16,1.0,0.0,
71.0,3,0x508D,安规一键设置接口,UINT16,1.0,0.0,
72.0,3,0x6000,DSP版本V,UINT16,1.0,0.0,
73.0,3,0x6001,DSP版本B,UINT16,1.0,0.0,
74.0,3,0x6002,DSP版本D,UINT16,1.0,0.0,
75.0,3,0x6003,CPLD版本V,UINT16,1.0,0.0,
76.0,3,0x6004,CPLD版本B,UINT16,1.0,0.0,
77.0,3,0x6005,CPLD版本D,UINT16,1.0,0.0,
78.0,3,0x6010,直流历史充电量,UINT32,1.0,0.0,kWh
79.0,3,0x6012,直流日充电量,UINT32,1.0,0.0,kWh
80.0,3,0x6014,直流历史放电量,UINT32,1.0,0.0,kWh
81.0,3,0x6016,直流日放电量,UINT32,1.0,0.0,kWh
82.0,3,0x6018,交流历史充电量,UINT32,1.0,0.0,kWh
83.0,3,0x601A,交流日充电量,UINT32,1.0,0.0,kWh
84.0,3,0x601C,交流历史放电量,UINT32,1.0,0.0,kWh
85.0,3,0x601E,交流日放电量,UINT32,1.0,0.0,kWh
86.0,3,0x6020,输出AB线电压,INT16,10.0,0.0,V
87.0,3,0x6021,输出BC线电压,INT16,10.0,0.0,V
88.0,3,0x6022,输出CA线电压,INT16,10.0,0.0,V
89.0,3,0x6023,输出A相电压,INT16,10.0,0.0,V
90.0,3,0x6024,输出B相电压,INT16,10.0,0.0,V
91.0,3,0x6025,输出C相电压,INT16,10.0,0.0,V
92.0,3,0x6026,输出A相电流,INT16,10.0,0.0,A
93.0,3,0x6027,输出B相电流,INT16,10.0,0.0,A
94.0,3,0x6028,输出C相电流,INT16,10.0,0.0,A
95.0,3,0x6029,电感A相电流,INT16,10.0,0.0,A
96.0,3,0x602A,电感B相电流,INT16,10.0,0.0,A
97.0,3,0x602B,电感C相电流,INT16,10.0,0.0,A
98.0,3,0x602C,电网频率,INT16,100.0,0.0,Hz
99.0,3,0x602D,当前电网相序,INT16,1.0,0.0,
100.0,3,0x602E,PCS降额系数,INT16,1.0,0.0,
101.0,3,0x602F,PCS降额标志,INT16,1.0,0.0,
102.0,3,0x6030,交流A相有功功率,INT16,10.0,0.0,kW
