序号,功能码,地址,名字,数据类型,倍率,偏移,单位
,3,1,开机,BOOL,1.0,0.0,
,3,2,系统运行模式,INT16,1.0,0.0,
,3,3,系统状态,INT16,1.0,0.0,
,3,4,系统告警等级,INT16,1.0,0.0,
,3,5,DI1,BOOL,1.0,0.0,
,3,6,DI2,BOOL,1.0,0.0,
,3,7,DI3,BOOL,1.0,0.0,
,3,8,DI4,BOOL,1.0,0.0,
,3,9,DO1,BOOL,1.0,0.0,
,3,10,DO2,BOOL,1.0,0.0,
,3,11,DO3,BOOL,1.0,0.0,
,3,12,DO4,BOOL,1.0,0.0,
,3,13,有功功率设置,INT16,1.0,0.0,
,3,14,系统故障复归,INT16,1.0,0.0,
,3,15,停止充电SOC,INT16,1.0,0.0,
,3,16,停止充电SOC回差,INT16,1.0,0.0,
,3,17,停止放电SOC,INT16,1.0,0.0,
,3,18,停止放电SOC回差,INT16,1.0,0.0,
,3,19,PCS额定功率,INT16,1.0,0.0,
,3,20,PCS最大充电功率,INT16,1.0,0.0,
,3,21,PCS最大放电功率,INT16,1.0,0.0,
,3,22,电网输入额定功率,INT16,1.0,0.0,
,3,23,电网输入最大功率,INT16,1.0,0.0,
,3,24,停止充电单体电压,FLOAT,1.0,0.0,
,3,25,停止充电单体电压回差,FLOAT,1.0,0.0,
,3,26,停止放电单体电压,FLOAT,1.0,0.0,
,3,27,停止放电单体电压回差,INT16,1.0,0.0,
,3,28,停止充电电压,INT16,1.0,0.0,
,3,29,停止放电电压,INT16,1.0,0.0,
,3,30,使能SOC保护,INT16,1.0,0.0,
,3,31,使能单体电压保护,INT16,1.0,0.0,
,na,0,急停,3,,,
,na,1,水浸,3,,,
