序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,2,1,组端过压1级报警,BOOL,1.0,0.0,
1.0,2,2,组端过压2级报警,BOOL,1.0,0.0,
2.0,2,3,组端过压3级报警,BOOL,1.0,0.0,
3.0,2,4,组端欠压1级报警,BOOL,1.0,0.0,
4.0,2,5,组端欠压2级报警,BOOL,1.0,0.0,
5.0,2,6,组端欠压3级报警,BOOL,1.0,0.0,
6.0,2,7,组端放电过流1级报警,BOOL,1.0,0.0,
7.0,2,8,组端放电过流2级报警,BOOL,1.0,0.0,
8.0,2,9,组端放电过流3级报警,BOOL,1.0,0.0,
9.0,2,10,组端充电过流1级报警,BOOL,1.0,0.0,
10.0,2,11,组端充电过流2级报警,BOOL,1.0,0.0,
11.0,2,12,组端充电过流3级报警,BOOL,1.0,0.0,
12.0,2,13,组端绝缘1级报警,BOOL,1.0,0.0,
13.0,2,14,组端绝缘2级报警,BOOL,1.0,0.0,
14.0,2,15,组端绝缘3级报警,BOOL,1.0,0.0,
15.0,2,16,单体电池过温1级报警,BOOL,1.0,0.0,
16.0,2,17,单体电池过温2级报警,BOOL,1.0,0.0,
17.0,2,18,单体电池过温3级报警,BOOL,1.0,0.0,
18.0,2,19,单体电池欠温1级报警,BOOL,1.0,0.0,
19.0,2,20,单体电池欠温2级报警,BOOL,1.0,0.0,
20.0,2,21,单体电池欠温3级报警,BOOL,1.0,0.0,
21.0,2,22,单体电压过压1级报警,BOOL,1.0,0.0,
22.0,2,23,单体电压过压2级报警,BOOL,1.0,0.0,
23.0,2,24,单体电压过压3级报警,BOOL,1.0,0.0,
24.0,2,25,单体电压欠压1级报警,BOOL,1.0,0.0,
25.0,2,26,单体电压欠压2级报警,BOOL,1.0,0.0,
26.0,2,27,单体电压欠压3级报警,BOOL,1.0,0.0,
27.0,2,28,单体压差过高1级报警,BOOL,1.0,0.0,
28.0,2,29,单体压差过高2级报警,BOOL,1.0,0.0,
29.0,2,30,单体压差过高3级报警,BOOL,1.0,0.0,
30.0,2,31,单体温差过高1级报警,BOOL,1.0,0.0,
31.0,2,32,单体温差过高2级报警,BOOL,1.0,0.0,
32.0,2,33,单体温差过高3级报警,BOOL,1.0,0.0,
33.0,2,34,SOC过低1级告警,BOOL,1.0,0.0,
34.0,2,35,SOC过低2级告警,BOOL,1.0,0.0,
35.0,2,36,SOC过低3级告警,BOOL,1.0,0.0,
36.0,2,37,动力插箱温度过高1级报警,BOOL,1.0,0.0,
37.0,2,38,动力插箱温度过高2级报警,BOOL,1.0,0.0,
38.0,2,39,动力插箱温度过高3级报警,BOOL,1.0,0.0,
39.0,2,40,电池模组过压1级报警,BOOL,1.0,0.0,
40.0,2,41,电池模组过压2级报警,BOOL,1.0,0.0,
41.0,2,42,电池模组过压3级报警,BOOL,1.0,0.0,
42.0,2,43,电池模组欠压1级报警,BOOL,1.0,0.0,
43.0,2,44,电池模组欠压2级报警,BOOL,1.0,0.0,
44.0,2,45,电池模组欠压3级报警,BOOL,1.0,0.0,
45.0,2,46,DI1故障,BOOL,1.0,0.0,
46.0,2,47,DI2故障,BOOL,1.0,0.0,
47.0,2,48,DI3故障,BOOL,1.0,0.0,
48.0,2,49,DI4故障,BOOL,1.0,0.0,
49.0,2,50,DI5故障,BOOL,1.0,0.0,
50.0,2,51,DI6故障,BOOL,1.0,0.0,
51.0,2,52,DI7故障,BOOL,1.0,0.0,
52.0,2,53,DI8故障,BOOL,1.0,0.0,
53.0,2,54,主从内网通讯失联,BOOL,1.0,0.0,
54.0,2,55,单体电压采集故障,BOOL,1.0,0.0,
55.0,2,56,单体温度采集故障,BOOL,1.0,0.0,
56.0,2,57,显控检测故障,BOOL,1.0,0.0,
57.0,2,58,簇间压差大,BOOL,1.0,0.0,
58.0,2,59,簇间跳机故障,BOOL,1.0,0.0,
59.0,2,60,电池极限故障,BOOL,1.0,0.0,
60.0,2,61,项目软件版本参数不一致,BOOL,1.0,0.0,
61.0,2,62,与PCS通讯故障,BOOL,1.0,0.0,
62.0,2,63,PC强控调试模式,BOOL,1.0,0.0,
63.0,2,64,CAN霍尔传感器故障,BOOL,1.0,0.0,
64.0,2,65,CAN霍尔传感器通讯故障,BOOL,1.0,0.0,
65.0,2,66,硬件自检异常,BOOL,1.0,0.0,
66.0,2,67,单体电压线束故障,BOOL,1.0,0.0,
67.0,2,68,均衡故障,BOOL,1.0,0.0,
68.0,2,69,EMS通讯故障,BOOL,1.0,0.0,
69.0,2,70,与三级BMS通讯故障,BOOL,1.0,0.0,
70.0,2,71,单体电池放电过温1级报警,BOOL,1.0,0.0,
71.0,2,72,单体电池放电过温2级报警,BOOL,1.0,0.0,
72.0,2,73,单体电池放电过温3级报警,BOOL,1.0,0.0,
73.0,2,74,单体电池放电欠温1级报警,BOOL,1.0,0.0,
74.0,2,75,单体电池放电欠温2级报警,BOOL,1.0,0.0,
75.0,2,76,单体电池放电欠温3级报警,BOOL,1.0,0.0,
76.0,2,77,SOC过高1级告警,BOOL,1.0,0.0,
77.0,2,78,SOC过高2级告警,BOOL,1.0,0.0,
78.0,2,79,SOC过高3级告警,BOOL,1.0,0.0,
79.0,2,80,温升快报警1级报警,BOOL,1.0,0.0,
80.0,2,81,温升快报警2级报警,BOOL,1.0,0.0,
81.0,2,82,温升快报警3级报警,BOOL,1.0,0.0,
82.0,2,83,预充失败,BOOL,1.0,0.0,
83.0,2,84,单体温度采集故障一级告警,BOOL,1.0,0.0,
84.0,2,85,单体温度采集故障二级告警,BOOL,1.0,0.0,
85.0,2,86,从控内温差大1级报警,BOOL,1.0,0.0,
86.0,2,87,从控内温差大2级报警,BOOL,1.0,0.0,
87.0,2,88,从控内温差大3级报警,BOOL,1.0,0.0,
88.0,2,89,从控内压差大1级报警,BOOL,1.0,0.0,
89.0,2,90,从控内压差大2级报警,BOOL,1.0,0.0,
90.0,2,91,从控内压差大3级报警,BOOL,1.0,0.0,
91.0,2,92,从控总压压差大1级报警,BOOL,1.0,0.0,
92.0,2,93,从控总压压差大2级报警,BOOL,1.0,0.0,
93.0,2,94,从控总压压差大3级报警,BOOL,1.0,0.0,
94.0,2,95,DBC使能开启,BOOL,1.0,0.0,
95.0,2,96,菊花链单环故障,BOOL,1.0,0.0,
96.0,2,97,单体电压采集芯片故障,BOOL,1.0,0.0,
97.0,2,98,极柱温度采集故障1级报警,BOOL,1.0,0.0,
98.0,2,99,极柱温度采集故障2级报警,BOOL,1.0,0.0,
99.0,2,100,极柱温度采集故障3级报警,BOOL,1.0,0.0,
100.0,2,101,主控供电过压故障,BOOL,1.0,0.0,
101.0,2,102,主控供电欠压故障,BOOL,1.0,0.0,
102.0,2,103,主控程序运行故障,BOOL,1.0,0.0,
103.0,2,104,从控程序运行故障,BOOL,1.0,0.0,
104.0,2,105,主控EEPROM故障,BOOL,1.0,0.0,
105.0,2,106,主控Flash故障,BOOL,1.0,0.0,
106.0,2,107,从控EEPROM故障,BOOL,1.0,0.0,
107.0,2,108,单体电压不刷新,BOOL,1.0,0.0,
108.0,2,109,AFE供电故障,BOOL,1.0,0.0,
109.0,2,110,主控12V输出电压故障,BOOL,1.0,0.0,
110.0,2,111,主控RTC故障,BOOL,1.0,0.0,
111.0,2,112,CAB500故障,BOOL,1.0,0.0,
112.0,2,113,模拟量霍尔故障,BOOL,1.0,0.0,
113.0,2,114,电池总压检测电路故障,BOOL,1.0,0.0,
114.0,2,115,电池负载侧电压检测电路故障,BOOL,1.0,0.0,
115.0,2,116,绝缘电路故障,BOOL,1.0,0.0,
116.0,2,117,SOC跳变故障,BOOL,1.0,0.0,
117.0,2,118,充放电回路连接铜排虚接,BOOL,1.0,0.0,
118.0,2,119,单体热失控预警,BOOL,1.0,0.0,
119.0,2,120,极柱温差大1级报警,BOOL,1.0,0.0,
120.0,2,121,极柱温差大2级报警,BOOL,1.0,0.0,
121.0,2,122,极柱温差大3级报警,BOOL,1.0,0.0,
