序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1.0,2,1,堆内各组端电压欠压轻度告警汇总,BOOL,1.0,0.0,
2.0,2,2,堆内各组端电压欠压中度告警汇总,BOOL,1.0,0.0,
3.0,2,3,堆内各组端电压欠压重度告警汇总,BOOL,1.0,0.0,
4.0,2,4,堆内各组端电压过压轻度告警汇总,BOOL,1.0,0.0,
5.0,2,5,堆内各组端过压过压中度告警汇总,BOOL,1.0,0.0,
6.0,2,6,堆内各组端过压过压重度告警汇总,BOOL,1.0,0.0,
7.0,2,7,堆内各组端过流轻度告警汇总,BOOL,1.0,0.0,
8.0,2,8,堆内各组端过流中度告警汇总,BOOL,1.0,0.0,
9.0,2,9,堆内各组端过流重度告警汇总,BOOL,1.0,0.0,
10.0,2,10,堆内各组绝缘电阻低轻度告警汇总,BOOL,1.0,0.0,
11.0,2,11,堆内各组绝缘电阻低中度告警汇总,BOOL,1.0,0.0,
12.0,2,12,堆内各组绝缘电阻低重度告警汇总,BOOL,1.0,0.0,
13.0,2,13,堆内各组模块欠温度轻度告警汇总,BOOL,1.0,0.0,
14.0,2,14,堆内各组模块欠温度中度告警汇总,BOOL,1.0,0.0,
15.0,2,15,堆内各组模块欠温度重度告警汇总,BOOL,1.0,0.0,
16.0,2,16,堆内各组模块过温度轻度告警汇总,BOOL,1.0,0.0,
17.0,2,17,堆内各组模块过温度中度告警汇总,BOOL,1.0,0.0,
18.0,2,18,堆内各组模块过温度重度告警汇总,BOOL,1.0,0.0,
19.0,2,19,堆内各单体过压轻微告警汇总,BOOL,1.0,0.0,
20.0,2,20,堆内各单体过压中度告警汇总,BOOL,1.0,0.0,
21.0,2,21,堆内各单体过压严重告警汇总,BOOL,1.0,0.0,
22.0,2,22,堆内各单体欠压轻微告警汇总,BOOL,1.0,0.0,
23.0,2,23,堆内各单体欠压中度告警汇总,BOOL,1.0,0.0,
24.0,2,24,堆内各单体欠压严重告警汇总,BOOL,1.0,0.0,
25.0,2,25,堆内各单体压差轻微告警汇总,BOOL,1.0,0.0,
26.0,2,26,堆内各单体压差中度告警汇总,BOOL,1.0,0.0,
27.0,2,27,堆内各单体压差严重告警汇总,BOOL,1.0,0.0,
