序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,3,1.0,系统总电压(V),INT16,1.0,0.0,V
1.0,3,2.0,系统总电流(A),INT16,1.0,0.0,A
2.0,3,3.0,模块1电压(V),INT16,1.0,0.0,V
3.0,3,4.0,模块1电流(A),INT16,1.0,0.0,A
4.0,3,5.0,模块1环温(℃),INT16,1.0,0.0,℃
5.0,3,6.0,模块1状态表0,INT16,1.0,0.0,
6.0,3,7.0,模块1状态表1,INT16,1.0,0.0,
7.0,3,8.0,模块1状态表2,INT16,10.0,0.0,
8.0,3,9.0,模块1AB线电压(V),INT16,10.0,0.0,V
9.0,3,10.0,模块1BC线电压(V),INT16,10.0,0.0,V
10.0,3,11.0,模块1CA线电压(V),INT16,10.0,0.0,V
11.0,3,12.0,模块2电压(V),INT16,10.0,0.0,V
12.0,3,13.0,模块2电流(A),INT16,10.0,0.0,A
13.0,3,14.0,模块2环温(℃),INT16,10.0,0.0,℃
14.0,3,15.0,模块2状态表0,INT16,10.0,0.0,
15.0,3,16.0,模块2状态表1,INT16,10.0,0.0,
16.0,3,17.0,模块2状态表2,INT16,10.0,0.0,
17.0,3,18.0,模块2AB线电压(V),INT16,1.0,0.0,V
18.0,3,19.0,模块2BC线电压(V),INT16,1.0,0.0,V
19.0,3,20.0,模块2CA线电压(V),INT16,1.0,0.0,V
20.0,3,21.0,模块3电压(V),INT16,1.0,0.0,V
21.0,3,22.0,模块3电流(A),UINT16,1.0,0.0,A
22.0,3,23.0,模块3环温(℃),UINT16,1.0,0.0,℃
23.0,3,24.0,模块3状态表0,UINT16,1.0,0.0,
24.0,3,25.0,模块3状态表1,UINT16,1.0,0.0,
25.0,3,26.0,模块3状态表2,UINT16,1.0,0.0,
26.0,3,27.0,模块3AB线电压(V),UINT16,10.0,0.0,V
27.0,3,28.0,模块3BC线电压(V),UINT16,10.0,0.0,V
28.0,3,29.0,模块3CA线电压(V),UINT16,10.0,0.0,V
,na,,模块1输出短路,1,,,
,na,,模块1内部通信故障,1,,,
,na,,模块1输入或母线异常,1,,,
,na,,模块1休眠,1,,,
,na,,模块1放电异常,1,,,
,na,,模块1DC侧处于关机状态,1,,,
,na,,模块1故障告警,1,,,
,na,,模块1保护告警,1,,,
,na,,模块1风扇故障告警,1,,,
,na,,模块1过温告警,1,,,
,na,,模块1输出过压告警,1,,,
,na,,模块1WALK-IN使能,1,,,
,na,,模块1通讯中断告警,1,,,
,na,,模块1处于限功率状态,1,,,
,na,,模块1ID重复,1,,,
,na,,模块1严重不均流,1,,,
,na,,模块1三相输入缺相告警,1,,,
,na,,模块1三相输入不平衡告警,1,,,
,na,,模块1输入欠压告警,1,,,
,na,,模块1输入过压告警,1,,,
,na,,模块1PFC侧处于关机状态,1,,,
,na,,模块2输出短路,1,,,
,na,,模块2内部通信故障,1,,,
,na,,模块2输入或母线异常,1,,,
,na,,模块2休眠,1,,,
,na,,模块2放电异常,1,,,
,na,,模块2DC侧处于关机状态,1,,,
,na,,模块2故障告警,1,,,
,na,,模块2保护告警,1,,,
,na,,模块2风扇故障告警,1,,,
,na,,模块2过温告警,1,,,
,na,,模块2输出过压告警,1,,,
,na,,模块2WALK-IN使能,1,,,
,na,,模块2通讯中断告警,1,,,
,na,,模块2处于限功率状态,1,,,
,na,,模块2ID重复,1,,,
,na,,模块2严重不均流,1,,,
,na,,模块2三相输入缺相告警,1,,,
,na,,模块2三相输入不平衡告警,1,,,
,na,,模块2输入欠压告警,1,,,
,na,,模块2输入过压告警,1,,,
,na,,模块2PFC侧处于关机状态,1,,,
,na,,模块3输出短路,1,,,
,na,,模块3内部通信故障,1,,,
,na,,模块3输入或母线异常,1,,,
,na,,模块3休眠,1,,,
,na,,模块3放电异常,1,,,
,na,,模块3DC侧处于关机状态,1,,,
,na,,模块3故障告警,1,,,
,na,,模块3保护告警,1,,,
,na,,模块3风扇故障告警,1,,,
,na,,模块3过温告警,1,,,
,na,,模块3输出过压告警,1,,,
,na,,模块3WALK-IN使能,1,,,
,na,,模块3通讯中断告警,1,,,
,na,,模块3处于限功率状态,1,,,
,na,,模块3ID重复,1,,,
,na,,模块3严重不均流,1,,,
,na,,模块3三相输入缺相告警,1,,,
,na,,模块3三相输入不平衡告警,1,,,
,na,,模块3输入欠压告警,1,,,
,na,,模块3输入过压告警,1,,,
,na,,模块3PFC侧处于关机状态,1,,,
