序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,1,100.0,do1,BOOL,1.0,0.0,
1.0,1,101.0,do2,BOOL,1.0,0.0,
2.0,1,102.0,do3,BOOL,1.0,0.0,
3.0,1,103.0,do4,BOOL,1.0,0.0,
4.0,1,104.0,do5,BOOL,1.0,0.0,
5.0,1,105.0,do6,BOOL,1.0,0.0,
6.0,1,106.0,do7,BOOL,1.0,0.0,
7.0,1,107.0,do8,BOOL,1.0,0.0,
8.0,1,108.0,do1上电时状态,BOOL,1.0,0.0,
9.0,1,109.0,do2上电时状态,BOOL,1.0,0.0,
10.0,1,110.0,do3上电时状态,BOOL,1.0,0.0,
11.0,1,111.0,do4上电时状态,BOOL,1.0,0.0,
12.0,1,112.0,do5上电时状态,BOOL,1.0,0.0,
13.0,1,113.0,do6上电时状态,BOOL,1.0,0.0,
14.0,1,114.0,do7上电时状态,BOOL,1.0,0.0,
15.0,1,115.0,do8上电时状态,BOOL,1.0,0.0,
16.0,2,200.0,di1,BOOL,1.0,0.0,
17.0,2,201.0,di2,BOOL,1.0,0.0,
,na,,系统急停,3,,,
