序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1.0,3,200,液冷机组控制模式,FLOAT,1.0,0.0,
2.0,3,201,机组开关使能,FLOAT,1.0,0.0,
3.0,3,205,机组设定温度,FLOAT,10.0,0.0,℃
4.0,4,0,水泵运行状态,INT,1.0,0.0,
5.0,4,1,#1压缩机运行状态,INT,1.0,0.0,
6.0,4,2,#2压缩机运行状态,INT,1.0,0.0,
7.0,4,3,电加热运行状态,INT,1.0,0.0,
8.0,4,4,冷凝风机运行状态,INT,1.0,0.0,
9.0,4,5,机组出水温度,FLOAT,10.0,0.0,℃
10.0,4,6,机组回水温度,FLOAT,10.0,0.0,℃
11.0,4,7,机组出水压力,FLOAT,100.0,0.0,bar
12.0,4,8,机组回水压力,FLOAT,100.0,0.0,bar
13.0,4,9,机组外环境温度,FLOAT,10.0,0.0,℃
14.0,4,10,补液水泵状态,INT,1.0,0.0,
15.0,4,11,故障告警代码,INT,1.0,0.0,
,na,0,参数错误故障(控制板),1,,,
,na,1,输入相序检测故障,1,,,
,na,2,三相检测缺相故障,1,,,
,na,3,超速保护,1,,,
,na,4,回水温度传感器故障,1,,,
,na,5,出水温度传感器故障,1,,,
,na,6,外环境温度传感器故障,1,,,
,na,7,排气温度传感器故障,1,,,
,na,8,吸气温度传感器故障,1,,,
,na,9,485通讯故障,1,,,
,na,10,主板与驱动板通讯故障,1,,,
,na,11,出水压力传感器故障,1,,,
,na,12,进水压力传感器故障,1,,,
,na,13,压机电流过流保护,1,,,
,na,14,进出水压差过小保护,1,,,
