序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1.0,3,0X100,整机状态,INT16,1.0,0.0,
2.0,3,0X101,外风机1,INT16,1.0,0.0,
3.0,3,0X102,外风机2,INT16,1.0,0.0,
4.0,3,0X103,压缩机1,INT16,1.0,0.0,
5.0,3,0X104,压缩机2,INT16,1.0,0.0,
6.0,3,0X105,电加热,INT16,1.0,0.0,
7.0,3,0X106,水泵,INT16,1.0,0.0,
8.0,3,0X107,补水泵,INT16,1.0,0.0,
9.0,3,0X108,故障告警,INT16,1.0,0.0,
10.0,3,0X500,循环出水温度,INT16,10.0,0.0,℃
11.0,3,0X501,循环进水温度,INT16,10.0,0.0,℃
12.0,3,0X502,进水压力,INT16,100.0,0.0,bar
13.0,3,0X503,出水压力,INT16,100.0,0.0,bar
14.0,3,0X504,室外环境温度1,INT16,10.0,0.0,℃
15.0,3,0X505,翅片温度1,INT16,10.0,0.0,℃
16.0,3,0X506,吸气温度1,INT16,10.0,0.0,℃
17.0,3,0X507,液管温度1,INT16,10.0,0.0,℃
18.0,3,0X508,排气温度1,INT16,10.0,0.0,℃
19.0,3,0X509,电流1,INT16,10.0,0.0,A
20.0,3,0X50A,交流电压1,INT16,1.0,0.0,V
21.0,3,0X50B,排气压力1,INT16,100.0,0.0,bar
22.0,3,0X50C,吸气压力1,INT16,100.0,0.0,bar
23.0,3,0X50D,室外风机1转速,INT16,1.0,0.0,rpm
24.0,3,0X50E,室外风机2转速,INT16,1.0,0.0,rpm
25.0,3,0X50F,压缩机频率,INT16,1.0,0.0,Hz
26.0,3,0X510,膨胀阀开度1,INT16,1.0,0.0,pls
27.0,3,0X511,水泵转速,INT16,1.0,0.0,rpm
28.0,3,0X512,补水泵转速,INT16,1.0,0.0,rpm
29.0,3,0X600,高液位警告,INT16,1.0,0.0,
30.0,3,0X601,低液位警告,INT16,1.0,0.0,
31.0,3,0X602,进水压力过低警告,INT16,1.0,0.0,
32.0,3,0X603,出水压力警告,INT16,1.0,0.0,
33.0,3,0X604,电加热保护,INT16,1.0,0.0,
34.0,3,0X605,出水过热警告,INT16,1.0,0.0,
35.0,3,0X606,循环进水温感失效,INT16,1.0,0.0,
36.0,3,0X607,循环出水温感失效,INT16,1.0,0.0,
37.0,3,0X608,室外环境温度失效,INT16,1.0,0.0,
38.0,3,0X609,翅片温度失效,INT16,1.0,0.0,
39.0,3,0X60A,吸气温度失效,INT16,1.0,0.0,
40.0,3,0X60B,液管温度失效,INT16,1.0,0.0,
41.0,3,0X60C,进水压力传感故障,INT16,1.0,0.0,
42.0,3,0x60D,出水压力传感故障,INT16,1.0,0.0,
43.0,3,0x60E,高压传感器故障,INT16,1.0,0.0,
44.0,3,0x60F,低压传感器故障,INT16,1.0,0.0,
45.0,3,0x610,高压保护,INT16,1.0,0.0,
46.0,3,0x611,低压保护,INT16,1.0,0.0,
47.0,3,0x612,排气温度过高保护,INT16,1.0,0.0,
48.0,3,0x613,出水温度过低保护,INT16,1.0,0.0,
49.0,3,0x614,翅片温度过高保护,INT16,1.0,0.0,
50.0,3,0x615,进出水温差过高保护,INT16,1.0,0.0,
51.0,3,0x616,外风机1故障,INT16,1.0,0.0,
52.0,3,0x617,外风机1通讯故障,INT16,1.0,0.0,
53.0,3,0x618,外风机1过载故障,INT16,1.0,0.0,
54.0,3,0x619,外风机2故障,INT16,1.0,0.0,
55.0,3,0x61A,外风机2通讯故障,INT16,1.0,0.0,
56.0,3,0x61B,外风机2过载故障,INT16,1.0,0.0,
57.0,3,0x61C,压缩机1故障,INT16,1.0,0.0,
58.0,3,0x61D,压缩机1通讯故障,INT16,1.0,0.0,
59.0,3,0x61E,压缩机2故障,INT16,1.0,0.0,
60.0,3,0x61F,压缩机2通讯故障,INT16,1.0,0.0,
61.0,3,0x620,水泵故障,INT16,1.0,0.0,
62.0,3,0x621,水泵通讯故障,INT16,1.0,0.0,
63.0,3,0x622,水泵过载故障,INT16,1.0,0.0,
64.0,3,0x623,缺逆相保护,INT16,1.0,0.0,
65.0,3,0x624,补水泵故障,INT16,1.0,0.0,
