序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,4,1,电池系统电压,UINT16,100.0,0.0,V
1.0,4,2,电池系统电流,INT16,10.0,0.0,A
2.0,4,3,电池平均温度,INT16,10.0,0.0,℃
3.0,4,4,电池SOC,UINT16,1.0,0.0,%
4.0,4,5,电池SOH,UINT16,1.0,0.0,%
5.0,4,6,最大单体电压,UINT16,1000.0,0.0,V
6.0,4,7,最小单体电压,UINT16,1000.0,0.0,V
7.0,4,8,最大单体电压序号,UINT16,1.0,0.0,
8.0,4,9,最小单体电压序号,UINT16,1.0,0.0,
9.0,4,10,电池最高温度,INT16,10.0,50.0,℃
10.0,4,11,电池最低温度,INT16,10.0,50.0,℃
11.0,4,12,电池最高温度序号,UINT16,1.0,0.0,
12.0,4,13,电池最低温度序号,UINT16,1.0,0.0,
13.0,4,14,电池充电电压限值,UINT16,10.0,0.0,V
14.0,4,15,电池最大充电电流,INT16,10.0,0.0,A
15.0,4,16,电池放电电压限值,UINT16,10.0,0.0,V
16.0,4,17,电池最大放电电流,INT16,10.0,0.0,A
17.0,4,18,电池剩余电量,UINT16,10.0,0.0,kWh
18.0,4,19,充电使能,UINT16,1.0,0.0,
19.0,4,20,放电使能,UINT16,1.0,0.0,
20.0,4,21,强制充电使能,UINT16,1.0,0.0,
21.0,4,22,充满电使能,UINT16,1.0,0.0,
22.0,4,23,继电器1开关状态,UINT16,1.0,0.0,
23.0,4,24,继电器2开关状态,UINT16,1.0,0.0,
24.0,4,25,SOC校准,UINT16,1.0,0.0,
25.0,4,26,紧急充电,UINT16,1.0,0.0,
26.0,4,27,单体电压1,UINT16,1000.0,0.0,V
27.0,4,28,单体电压2,UINT16,1000.0,0.0,V
28.0,4,29,单体电压3,UINT16,1000.0,0.0,V
29.0,4,30,单体电压4,UINT16,1000.0,0.0,V
30.0,4,31,单体电压5,UINT16,1000.0,0.0,V
31.0,4,32,单体电压6,UINT16,1000.0,0.0,V
32.0,4,33,单体电压7,UINT16,1000.0,0.0,V
33.0,4,34,单体电压8,UINT16,1000.0,0.0,V
34.0,4,35,单体电压9,UINT16,1000.0,0.0,V
35.0,4,36,单体电压10,UINT16,1000.0,0.0,V
36.0,4,37,单体电压11,UINT16,1000.0,0.0,V
37.0,4,38,单体电压12,UINT16,1000.0,0.0,V
38.0,4,39,单体电压13,UINT16,1000.0,0.0,V
39.0,4,40,单体电压14,UINT16,1000.0,0.0,V
40.0,4,41,单体电压15,UINT16,1000.0,0.0,V
41.0,4,42,单体电压16,UINT16,1000.0,0.0,V
42.0,4,43,单体电压17,UINT16,1000.0,0.0,V
43.0,4,44,单体电压18,UINT16,1000.0,0.0,V
44.0,4,45,单体电压19,UINT16,1000.0,0.0,V
45.0,4,46,单体电压20,UINT16,1000.0,0.0,V
46.0,4,47,单体电压21,UINT16,1000.0,0.0,V
47.0,4,48,单体电压22,UINT16,1000.0,0.0,V
48.0,4,49,单体电压23,UINT16,1000.0,0.0,V
49.0,4,50,单体电压24,UINT16,1000.0,0.0,V
50.0,4,51,单体电压25,UINT16,1000.0,0.0,V
51.0,4,52,单体电压26,UINT16,1000.0,0.0,V
52.0,4,53,单体电压27,UINT16,1000.0,0.0,V
53.0,4,54,单体电压28,UINT16,1000.0,0.0,V
54.0,4,55,单体电压29,UINT16,1000.0,0.0,V
55.0,4,56,单体电压30,UINT16,1000.0,0.0,V
56.0,4,57,单体电压31,UINT16,1000.0,0.0,V
57.0,4,58,单体电压32,UINT16,1000.0,0.0,V
58.0,4,59,单体电压33,UINT16,1000.0,0.0,V
59.0,4,60,单体电压34,UINT16,1000.0,0.0,V
60.0,4,61,单体电压35,UINT16,1000.0,0.0,V
61.0,4,62,单体电压36,UINT16,1000.0,0.0,V
62.0,4,63,单体电压37,UINT16,1000.0,0.0,V
63.0,4,64,单体电压38,UINT16,1000.0,0.0,V
64.0,4,65,单体电压39,UINT16,1000.0,0.0,V
65.0,4,66,单体电压40,UINT16,1000.0,0.0,V
66.0,4,67,单体电压41,UINT16,1000.0,0.0,V
67.0,4,68,单体电压42,UINT16,1000.0,0.0,V
68.0,4,69,单体电压43,UINT16,1000.0,0.0,V
69.0,4,70,单体电压44,UINT16,1000.0,0.0,V
70.0,4,71,单体电压45,UINT16,1000.0,0.0,V
71.0,4,72,单体电压46,UINT16,1000.0,0.0,V
72.0,4,73,单体电压47,UINT16,1000.0,0.0,V
73.0,4,74,单体电压48,UINT16,1000.0,0.0,V
90.0,4,91,单体温度1,UINT16,1.0,50.0,℃
91.0,4,92,单体温度2,UINT16,1.0,50.0,℃
92.0,4,93,单体温度3,UINT16,1.0,50.0,℃
93.0,4,94,单体温度4,UINT16,1.0,50.0,℃
94.0,4,95,单体温度5,UINT16,1.0,50.0,℃
95.0,4,96,单体温度6,UINT16,1.0,50.0,℃
96.0,4,97,单体温度7,UINT16,1.0,50.0,℃
97.0,4,98,单体温度8,UINT16,1.0,50.0,℃
98.0,4,99,单体温度9,UINT16,1.0,50.0,℃
99.0,4,100,单体温度10,UINT16,1.0,50.0,℃
100.0,4,101,单体温度11,UINT16,1.0,50.0,℃
101.0,4,102,单体温度12,UINT16,1.0,50.0,℃
,na,0,放电过流一级,1,,,
,na,1,电池欠温一级,1,,,
,na,2,电池过温一级,1,,,
,na,3,电池欠压一级,1,,,
,na,4,电池过压一级,1,,,
,na,5,单体不均衡一级,1,,,
,na,6,BMS_Internal一级,1,,,
,na,7,充电过流一级,1,,,
,na,8,电池低温一级,1,,,
,na,9,单体过压一级,1,,,
,na,10,单体欠压一级,1,,,
,na,11,放电过流二级,2,,,
,na,12,电池欠温二级,2,,,
,na,13,电池过温二级,2,,,
,na,14,电池欠压二级,2,,,
,na,15,电池过压二级,2,,,
,na,16,单体不均衡二级,2,,,
,na,17,BMS_Internal二级,2,,,
,na,18,充电过流二级,2,,,
,na,19,电池低温二级,2,,,
,na,20,单体过压二级,2,,,
,na,21,单体欠压二级,2,,,
